candidate,replicate,linear_max,nonlinear_max,combined_max
rff128,8,0.127885514145616,0.011698334013619348,0.127885514145616
ensemble4x32,8,0.127885514145616,0.010812785051447973,0.127885514145616
rff24,9,0.11989214292556505,0.020551572919346853,0.11989214292556505
rff64,9,0.11989214292556505,0.019670477743845876,0.11989214292556505
rff128,9,0.11989214292556505,0.01990786383901573,0.11989214292556505
ensemble4x32,9,0.11989214292556505,0.018558780691961027,0.11989214292556505
rff24,10,0.15389680139829334,0.02042086701857816,0.15389680139829334
rff64,10,0.15389680139829334,0.019437535951789604,0.15389680139829334
rff128,10,0.15389680139829334,0.0223030644333679,0.15389680139829334
ensemble4x32,10,0.15389680139829334,0.018403707599768226,0.15389680139829334
rff24,11,0.12931296539655487,0.01274048409907358,0.12931296539655487
rff64,11,0.12931296539655487,0.015136556019455424,0.12931296539655487
rff128,11,0.12931296539655487,0.012968038820585549,0.12931296539655487
ensemble4x32,11,0.12931296539655487,0.013662640562148495,0.12931296539655487
rff24,12,0.1218066776967412,0.021148794980668673,0.1218066776967412
rff64,12,0.1218066776967412,0.016945242371705724,0.1218066776967412
rff128,12,0.1218066776967412,0.019872960538529813,0.1218066776967412
ensemble4x32,12,0.1218066776967412,0.01638864346850969,0.1218066776967412
rff24,13,0.12293057176467627,0.014531197728891797,0.12293057176467627
rff64,13,0.12293057176467627,0.016087280761186883,0.12293057176467627
rff128,13,0.12293057176467627,0.013754407092348025,0.12293057176467627
ensemble4x32,13,0.12293057176467627,0.013596197020183096,0.12293057176467627
rff24,14,0.10948628950111741,0.011934405694390379,0.10948628950111741
rff64,14,0.10948628950111741,0.014660966703986197,0.10948628950111741
rff128,14,0.10948628950111741,0.01829428720548491,0.10948628950111741
ensemble4x32,14,0.10948628950111741,0.012720285056455768,0.10948628950111741
rff24,15,0.12021620750721913,0.013552550127736634,0.12021620750721913
rff64,15,0.12021620750721913,0.013598446804780366,0.12021620750721913
rff128,15,0.12021620750721913,0.012792587012544727,0.12021620750721913
ensemble4x32,15,0.12021620750721913,0.013305917112604773,0.12021620750721913
rff24,16,0.12886249883551185,0.013189663659159684,0.12886249883551185
rff64,16,0.12886249883551185,0.012851448161573319,0.12886249883551185
rff128,16,0.12886249883551185,0.015870740814599944,0.12886249883551185
ensemble4x32,16,0.12886249883551185,0.011889150940290697,0.12886249883551185
rff24,17,0.1185980256555591,0.013131279834373987,0.1185980256555591
rff64,17,0.1185980256555591,0.013116330314842078,0.1185980256555591
rff128,17,0.1185980256555591,0.012816377748572267,0.1185980256555591
ensemble4x32,17,0.1185980256555591,0.012575561247347248,0.1185980256555591
rff24,18,0.16358560198351532,0.015488544628105524,0.16358560198351532
rff64,18,0.16358560198351532,0.015306132999405113,0.16358560198351532
rff128,18,0.16358560198351532,0.016211733319136022,0.16358560198351532
ensemble4x32,18,0.16358560198351532,0.0150598142021993,0.16358560198351532
rff24,19,0.12487223041781999,0.01639961684726439,0.12487223041781999
rff64,19,0.12487223041781999,0.017159888077986254,0.12487223041781999
rff128,19,0.12487223041781999,0.016176714034916596,0.12487223041781999
ensemble4x32,19,0.12487223041781999,0.01712526228404935,0.12487223041781999
rff24,20,0.1601587654851287,0.03660709833609119,0.1601587654851287
rff64,20,0.1601587654851287,0.03949835987695677,0.1601587654851287
rff128,20,0.1601587654851287,0.034406229311314575,0.1601587654851287
ensemble4x32,20,0.1601587654851287,0.041510645807887304,0.1601587654851287
rff24,21,0.14782502772660103,0.0122797466131167,0.14782502772660103
rff64,21,0.14782502772660103,0.01147130738967601,0.14782502772660103
rff128,21,0.14782502772660103,0.011074667726784546,0.14782502772660103
ensemble4x32,21,0.14782502772660103,0.010341811849359294,0.14782502772660103
rff24,22,0.12918269292123757,0.01603777487443591,0.12918269292123757
rff64,22,0.12918269292123757,0.018242278880583808,0.12918269292123757
rff128,22,0.12918269292123757,0.01856463190625008,0.12918269292123757
ensemble4x32,22,0.12918269292123757,0.015876343216700988,0.12918269292123757
rff24,23,0.17340140035987558,0.018660327390275677,0.17340140035987558
rff64,23,0.17340140035987558,0.01747192815654399,0.17340140035987558
rff128,23,0.17340140035987558,0.0166043071250679,0.17340140035987558
ensemble4x32,23,0.17340140035987558,0.015190166062144114,0.17340140035987558
rff24,24,0.09849750678839737,0.011663951752670328,0.09849750678839737
rff64,24,0.09849750678839737,0.010611538884239373,0.09849750678839737
rff128,24,0.09849750678839737,0.010658176287693086,0.09849750678839737
ensemble4x32,24,0.09849750678839737,0.009160210697729444,0.09849750678839737
rff24,25,0.11858375455767677,0.01765766834425992,0.11858375455767677
